,City,Country,Latitude,Longitude,Date,Max Temp,Humidity,Cloudiness,Wind Speed
373,Ruy Barbosa,BR,-12.29,-40.5,1548536171,85.89,37,64,8.99
374,Berlevag,NO,70.86,29.09,1548536171,0.44,100,0,6.98
375,La Asuncion,EC,-1.64,-78.74,1548536172,60.11,63,24,2.17
376,Simbahan,PH,6.3,120.58,1548536172,77.03,100,92,17.05
377,Cawayan,PH,9.81,123.54,1548536172,76.67,95,68,20.18
378,Papenburg,DE,53.08,7.39,1548534300,42.19,93,92,8.05
379,Saint-Pierre,FR,48.95,4.24,1548534600,43.41,93,90,19.46
380,Kampot,KH,10.62,104.18,1548534600,69.85,94,0,2.24
381,Katsuura,JP,33.93,134.5,1548532800,39.2,60,20,14.99
382,Aksu,KZ,52.04,76.93,1548534600,1.4,64,0,11.18
383,Labis,MY,2.38,103.02,1548536190,77.03,78,76,6.98
384,Nishihara,JP,35.74,139.53,1548534660,31.73,44,20,18.34
385,San Andres,PH,13.32,122.68,1548536191,76.67,100,0,24.09
386,Outlook,CA,51.48,-107.04,1548536191,23.48,93,92,5.08
387,Gunjur,GM,13.18,-16.76,1548532800,78.8,50,0,3.36
388,Merauke,ID,-8.49,140.4,1548536191,74.87,100,92,14.47
389,Kidal,ML,18.44,1.41,1548536191,55.56,22,0,9.78
390,Thinadhoo,MV,0.53,72.93,1548536191,81.44,100,8,7.99
391,Dicabisagan,PH,17.08,122.42,1548536191,70.82,100,92,13.47
392,Hambantota,LK,6.12,81.12,1548536192,78.6,100,44,12.12
393,Brownsville,US,25.91,-97.49,1548534900,58.68,90,90,12.75
394,Ziarat,PK,30.38,67.73,1548536192,5.93,63,24,3.18
395,Labuhan,ID,-2.54,115.51,1548536192,75.14,92,80,1.72
396,Yanam,IN,16.73,82.22,1548536192,71.31,85,0,7.43
397,Faro,PT,37.02,-7.94,1548532800,55.4,87,0,6.93
398,Volterra,IT,43.4,10.86,1548534000,35.62,64,0,4.7
399,Wajid,SO,3.81,43.25,1548536193,76.08,56,0,8.21
400,Luocheng,CN,28.29,114.55,1548536193,30.09,81,0,2.17
401,Uruzgan,AF,32.93,66.63,1548536193,5.66,86,8,3.51
402,Leningradskiy,RU,69.38,178.42,1548536193,-1.55,81,92,13.13
403,Popondetta,PG,-8.77,148.24,1548536193,70.14,97,92,1.61
404,Khasan,RU,42.43,130.64,1548536193,18.98,83,0,7.43
405,San Cristobal,EC,-0.39,-78.55,1548532800,73.0,36,40,12.75
406,Hasaki,JP,35.73,140.83,1548534600,28.4,79,20,4.7
407,Camargo,MX,27.69,-105.17,1548536195,63.48,17,0,7.09
408,Uzyn,UA,49.83,30.42,1548534600,21.2,92,90,6.71
409,Bandarbeyla,SO,9.49,50.81,1548536195,76.98,100,92,19.51
410,Maragogi,BR,-9.01,-35.22,1548536180,79.37,86,92,8.66
411,Mezen,RU,65.85,44.24,1548536195,-27.47,44,12,4.18
412,Batagay,RU,67.65,134.64,1548536196,-45.78,0,44,2.73
413,Aljezur,PT,37.31,-8.8,1548536196,55.43,100,0,8.66
414,Aksarka,RU,66.56,67.8,1548536196,-19.77,58,56,4.07
415,Flinders,AU,-34.58,150.85,1548532800,71.6,100,36,3.36
416,Srednekolymsk,RU,67.46,153.71,1548536196,-27.96,44,48,2.73
417,Walvis Bay,NA,-22.95,14.51,1548532800,62.6,77,0,3.36
418,Guarapari,BR,-20.67,-40.5,1548532800,86.0,66,20,12.75
419,Banikoara,BJ,11.3,2.44,1548536196,69.15,36,0,7.2
420,Berezovyy,RU,51.67,135.7,1548536197,-15.5,66,12,2.06
421,Botwood,CA,49.14,-55.34,1548532800,30.2,54,40,17.22
422,Paamiut,GL,61.99,-49.67,1548536197,31.44,96,36,33.71
423,Hohhot,CN,40.81,111.65,1548532800,15.8,43,56,6.71
424,Stavrovo,RU,56.13,40.01,1548536197,12.68,84,92,17.05
425,Nanae,JP,41.94,140.7,1548536231,15.83,100,0,5.08
426,Lipin Bor,RU,60.26,37.97,1548536231,9.39,83,92,19.17
427,Kieta,PG,-6.22,155.63,1548536231,80.63,100,0,3.51
428,Jalingo,NG,10.3,10.93,1548536231,74.24,30,0,7.76
429,Bathsheba,BB,13.22,-59.52,1548532800,78.8,69,40,17.22
430,Carballo,ES,43.21,-8.69,1548532800,47.26,100,75,4.7
431,Waipawa,NZ,-39.94,176.59,1548536232,68.79,69,12,16.6
432,Uray,RU,60.13,64.8,1548536232,-1.59,71,48,8.55
433,Wharton,GB,53.2,-2.51,1548534000,44.6,81,92,9.17
434,Nador,MA,35.17,-2.93,1548534600,53.1,76,0,1.12
435,Yumen,CN,40.29,97.04,1548536246,8.04,75,48,7.2
436,Mahajanga,MG,-15.72,46.32,1548532800,78.8,94,40,9.17
437,Young,UY,-32.7,-57.63,1548536250,80.99,100,12,3.51
438,Makakilo City,US,21.35,-158.09,1548533820,72.79,64,75,13.87
439,Zinder,NE,13.81,8.99,1548536251,65.64,24,0,8.55
440,Glubokiy,RU,48.52,40.33,1548536251,28.07,96,92,17.49
441,Tangjiazhuang,CN,33.27,105.76,1548536251,33.83,98,92,1.72
442,Marawi,PH,8.0,124.29,1548536251,67.13,100,100,2.51
443,Dukat,RS,42.44,22.31,1548536251,17.27,79,20,1.95
444,Ust-Karsk,RU,52.71,118.82,1548536251,-6.0,66,64,2.95
445,Ancuya,CO,1.26,-77.51,1548532800,69.15,36,20,17.22
446,Kimbe,PG,-5.56,150.15,1548536252,76.8,100,88,1.16
447,Florianopolis,BR,-27.6,-48.55,1548532800,86.0,66,40,6.93
448,Tynda,RU,55.15,124.74,1548536252,-21.66,59,12,2.51
449,Hit,IQ,33.64,42.83,1548536252,50.61,88,56,9.1
450,Palmeira,BR,-25.43,-50.0,1548536252,76.94,70,24,5.41
451,Bereda,ES,43.27,-7.54,1548534600,50.0,93,75,6.93
452,Lethem,GY,3.38,-59.8,1548536253,94.8,34,20,11.68
453,Izumo,JP,35.37,132.75,1548532800,41.0,48,75,11.41
454,Grindavik,IS,63.84,-22.43,1548534600,19.47,73,0,5.82
455,Nosivka,UA,50.94,31.58,1548536253,20.96,95,92,6.64
456,Sioux Lookout,CA,50.1,-91.92,1548532800,-13.01,51,40,8.05
457,Moramanga,MG,-18.95,48.23,1548536253,64.65,100,92,1.72
458,Cruzeiro do Sul,BR,-7.63,-72.67,1548532800,89.6,62,40,5.82
459,Show Low,US,34.25,-110.03,1548534900,42.03,32,1,8.05
460,Esil,KZ,51.96,66.41,1548536254,-9.65,68,0,8.66
461,Beringovskiy,RU,63.05,179.32,1548536255,6.33,87,88,22.19
462,Sangar,RU,63.92,127.47,1548536255,-36.65,70,12,2.62
463,Sarangani,PH,5.4,125.46,1548536255,78.33,100,88,12.24
464,Mount Isa,AU,-20.73,139.49,1548534600,75.2,73,80,10.0
465,Sao Felix do Xingu,BR,-6.64,-51.99,1548536051,79.59,83,80,3.18
466,Necochea,AR,-38.55,-58.74,1548536164,67.53,79,0,14.47
467,Port Macquarie,AU,-31.43,152.91,1548532800,69.8,94,0,5.82
468,Newport,GB,51.59,-3.0,1548534000,46.9,100,88,13.87
469,Toamasina,MG,-18.17,49.38,1548532800,73.4,94,75,3.18
470,Kiama,AU,-34.67,150.86,1548532800,71.6,100,36,3.36
471,Ayan,TR,40.67,33.6,1548536257,33.38,97,100,2.51
472,Soyo,AO,-6.13,12.37,1548532800,82.4,83,75,4.7
473,Mount Darwin,ZW,-16.77,31.58,1548536257,72.39,80,36,7.76
474,Bella Vista,AR,-28.51,-59.05,1548536257,85.08,99,24,4.18
475,Wewak,PG,-3.55,143.63,1548536258,76.89,94,44,3.62
476,Narsaq,GL,60.91,-46.05,1548532200,39.2,35,75,14.99
477,Tarabuco,BO,-19.18,-64.92,1548536258,68.84,56,56,5.08
478,Carlsbad,CZ,50.23,12.87,1548532800,35.94,100,90,8.05
479,Dali,CN,25.6,100.24,1548536291,33.29,100,0,1.5
480,Amot,NO,59.57,7.99,1548536291,13.31,79,92,5.97
481,Dosso,NE,13.05,3.19,1548536291,66.45,48,0,4.74
482,Edd,ER,13.93,41.69,1548536292,65.28,72,0,2.51
483,Dong Xoai,VN,11.53,106.92,1548536292,73.79,66,44,7.2
484,Tikapur,NP,28.53,81.12,1548536292,47.06,100,56,2.06
485,Birin,SY,35.01,36.67,1548536293,35.49,81,0,2.06
486,General Pico,AR,-35.66,-63.75,1548536306,83.06,81,56,14.58
487,Marbella,ES,36.51,-4.89,1548535860,54.16,100,40,4.7
488,Bangangte,CM,5.14,10.52,1548536310,74.42,67,24,7.99
489,Deep River,CA,46.1,-77.49,1548532800,5.0,38,1,3.18
490,Kasempa,ZM,-13.46,25.83,1548536310,64.29,94,32,2.62
491,Anchorage,US,61.22,-149.89,1548532680,32.47,99,90,5.53
492,Onda,ES,39.96,-0.26,1548534600,45.52,81,8,3.36
493,Barra Patuca,HN,15.8,-84.28,1548536311,76.04,100,88,9.22
494,Karak,JO,31.18,35.7,1548532800,50.0,66,20,3.74
495,Zhuhai,CN,40.71,112.04,1548532800,15.8,43,56,6.71
496,Urzhum,RU,57.11,50.0,1548536312,-0.51,78,92,8.43
497,Lodwar,KE,3.12,35.6,1548536312,75.32,54,0,7.09
498,Palmer,AU,-34.85,139.16,1548534600,62.6,72,40,5.82
499,Havoysund,NO,71.0,24.66,1548534000,12.2,72,24,10.29
500,Collie,AU,-33.36,116.15,1548536312,50.88,83,0,9.22
501,Banyo,CM,6.75,11.81,1548536313,79.37,32,76,7.2
502,La Palma,CO,5.36,-74.39,1548536313,83.55,52,8,2.51
503,Cap Malheureux,MU,-19.98,57.61,1548532800,80.6,83,20,3.36
504,Half Moon Bay,US,37.46,-122.43,1548532560,59.45,68,75,4.7
505,George,NG,6.63,3.35,1548536314,82.56,84,0,9.78
506,Alamosa,US,37.47,-105.87,1548534900,24.39,57,1,5.82
507,Umm Kaddadah,SD,13.6,26.69,1548536314,69.6,36,8,4.63
508,Caravelas,BR,-17.73,-39.27,1548536314,82.38,100,0,11.68
509,Mayakonda,IN,14.29,76.08,1548536314,62.4,89,24,3.4
510,Clyde River,CA,70.47,-68.59,1548532800,-14.81,75,90,20.8
511,Sehwan,PK,26.43,67.86,1548532500,55.4,71,20,4.18
512,Merta,IN,26.65,74.03,1548536315,41.43,63,0,4.97
513,Bowen,AU,-20.01,148.25,1548532800,77.0,88,40,6.93
514,Columbus,US,32.46,-84.99,1548534900,54.63,27,1,8.05
515,Warwick,US,41.7,-71.42,1548532560,32.45,30,20,5.82
516,Sosnovo-Ozerskoye,RU,52.53,111.54,1548536316,2.33,68,68,16.6
517,Varhaug,NO,58.61,5.65,1548534000,30.2,68,75,26.4
518,Macas,EC,-2.3,-78.12,1548532800,78.8,65,75,5.82
519,Datong,CN,40.09,113.3,1548536316,10.29,65,76,4.52
520,Helong,CN,25.94,116.13,1548536316,31.89,88,0,2.17
521,Hovd,NO,63.83,10.7,1548534000,24.87,57,0,16.11
522,Kyshtovka,RU,56.56,76.62,1548536317,1.74,79,44,14.58
523,Perevolotskiy,RU,51.88,54.19,1548536317,-6.0,73,0,10.45
